ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,ca-dmv-waymo-2026-04-12-2,Waymo,2026-04-12,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-04-12.,,https://www.dmv.ca.gov/portal/file/waymo_041226-2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_041226-2-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
2,ca-dmv-waymo-2026-04-12-1,Waymo,2026-04-12,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-04-12.,,https://www.dmv.ca.gov/portal/file/waymo_041226-1-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_041226-1-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
3,ca-dmv-waymo-2026-04-10,Waymo,2026-04-10,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-04-10.,,https://www.dmv.ca.gov/portal/file/waymo_041026-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_041026-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
4,ca-dmv-waymo-2026-04-06,Waymo,2026-04-06,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-04-06.,,https://www.dmv.ca.gov/portal/file/waymo_040626-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_040626-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
5,ca-dmv-nuro-2026-04-03,Nuro,2026-04-03,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Nuro dated 2026-04-03.,,https://www.dmv.ca.gov/portal/file/nuro_040326-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/nuro_040326-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
6,ca-dmv-zoox-2026-04-02,Zoox,2026-04-02,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Zoox dated 2026-04-02.,,https://www.dmv.ca.gov/portal/file/zoox_040226-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/zoox_040226-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
7,ca-dmv-waymo-2026-04-01,Waymo,2026-04-01,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-04-01.,,https://www.dmv.ca.gov/portal/file/waymo_040126-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_040126-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
8,ca-dmv-waymo-2026-03-30,Waymo,2026-03-30,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-03-30.,,https://www.dmv.ca.gov/portal/file/waymo_033026-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_033026-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
9,ca-dmv-weride-2026-03-30,WeRide,2026-03-30,autonomous_vehicle,California DMV published an autonomous vehicle collision report for WeRide dated 2026-03-30.,,https://www.dmv.ca.gov/portal/file/weride_033026_redacted-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/weride_033026_redacted-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
10,ca-dmv-waymo-2026-03-23,Waymo,2026-03-23,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-03-23.,,https://www.dmv.ca.gov/portal/file/waymo_032326_redacted-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_032326_redacted-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
11,ca-dmv-waymo-2026-03-22,Waymo,2026-03-22,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2026-03-22.,,https://www.dmv.ca.gov/portal/file/waymo_032226_redacted-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_032226_redacted-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
