ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,nhtsa-sgo-13781-2423,"Tesla, Inc.",2020-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-2423. Report type: 1-Day. Engagement status: Unknown, see Narrative. Vehicle: Tesla Model 3. Highest injury severity alleged: Fatality. Crash with: Pickup Truck. State: CA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-2423 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-2423,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
2,nhtsa-sgo-13781-3486,"Tesla, Inc.",2022-04-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-3486. Report type: 1-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Other Fixed Object. State: UNK. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-3486 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-3486,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
3,nhtsa-sgo-13781-3325,"Tesla, Inc.",2022-07-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-3325. Report type: 1-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Unknown. State: GA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-3325 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-3325,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
4,nhtsa-sgo-13781-5638,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5638. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model Y. Highest injury severity alleged: Unknown. Crash with: Pickup Truck. State: AL. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5638 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5638,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
5,nhtsa-sgo-13781-5637,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5637. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: SUV. State: IN. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5637 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5637,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
6,nhtsa-sgo-13781-5636,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5636. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model S. Highest injury severity alleged: Unknown. Crash with: SUV. State: FL. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5636 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5636,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
7,nhtsa-sgo-13781-5635,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5635. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Unknown. State: FL. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5635 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5635,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
8,nhtsa-sgo-13781-5634,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5634. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Other Fixed Object. State: GA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5634 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5634,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
9,nhtsa-sgo-13781-5632,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5632. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Other Fixed Object. State: NC. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5632 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5632,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
10,nhtsa-sgo-13781-5631,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5631. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model X. Highest injury severity alleged: Unknown. Crash with: Van. State: VA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5631 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5631,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
