ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes
1,inc-av-001,Mercedes Benz,2023-11-29,safety failure,"Mercedes Benz filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/mercedes_benz_11292023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; DMV gives exact day."
2,inc-av-002,Nuro,2023-11-27,safety failure,"Nuro filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/nuro_11272023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive; details should be reviewed in PDF."
3,inc-av-003,Waymo,2023-11-22,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_11222023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
4,inc-av-004,Waymo,2023-11-03,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_11032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
5,inc-av-005,Cruise,2023-10-27,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_10272023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
6,inc-av-006,Waymo,2023-10-26,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_10262023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
7,inc-av-007,Apple,2023-10-23,safety failure,"Apple filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/apple_10232023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
8,inc-av-008,Waymo,2023-10-17,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_10172023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
9,inc-av-009,Apollo Autonomous Driving,2023-10-16,safety failure,"Apollo Autonomous Driving filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/apollo_autonomous_driving_10162023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
10,inc-av-010,Apple,2023-10-13,safety failure,"Apple filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/apple_10132023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
11,inc-av-011,Zoox,2023-10-12,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_10122023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
12,inc-av-012,Cruise,2023-10-06,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_10062023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
13,inc-av-013,Waymo,2023-09-30,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_09302023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
14,inc-av-014,Apple,2023-09-29,safety failure,"Apple filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/apple_09292023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
15,inc-av-015,Cruise,2023-09-25,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_09252023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
16,inc-av-016,Cruise,2023-09-27,safety failure,"Cruise filed a California autonomous-vehicle collision report for a separate reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_09272023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
17,inc-av-017,WeRide,2023-09-28,safety failure,"WeRide filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/weride_09282023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
18,inc-av-018,Apple,2023-09-26,safety failure,"Apple filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/apple_09262023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
19,inc-av-019,Pony.ai,2023-09-15,safety failure,"Pony.ai filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/pony_ai_09152023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; filename pattern should be checked during import."
20,inc-av-020,Waymo,2023-09-11,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_09112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
21,inc-av-021,Apollo Autonomous Driving,2023-09-06,safety failure,"Apollo Autonomous Driving filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/apollo_autonomous_driving_09062023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
22,inc-av-022,Apollo Autonomous Driving,2023-06-29,safety failure,"Apollo Autonomous Driving filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/apollo_autonomous_driving_06292023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; listed out of chronological order on DMV page."
23,inc-av-023,Cruise,2023-09-11,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_09112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
