Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN Decoded,Serial Number,Make,Make - Unknown,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Driver / Operator Type,Automation Feature Version,Automation Feature Version CBI,Automation System Engaged?,Engagement Status,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Incident Date,Incident Date - Unknown,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Rain,Weather - Severe Wind,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Investigating Agency,Investigating Agency - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
13781-14222,1,"Tesla, Inc.",5-Day,,,MAR-2026,7SAYGDED8SF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model Y, ,2025, ,97ff5584c9eeeb2,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,FEB-2026, ,04:27, ,a74eaec8fc7227c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Altos, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown, , , , , ,Y, , , , , , , , , , , , ,Y,Unknown,Property Damage. No Injured Reported,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,61, , , , , , , , , , , ,Y, , ,Y,Y, , , , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-14221,1,"Tesla, Inc.",5-Day,,,MAR-2026,5YJ3E1EA4LF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model 3, ,2020, ,4adb260cbd33794,Consumer,"",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,FEB-2026, ,11:57, ,2439c0f92ea07ed,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Anaheim, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,Property Damage. No Injured Reported,Parked,Y, , , , , , , , , , ,Proceeding Straight,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,9, , , , , , ,Y, , , , , ,Y, ,Y,Y,Y,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-14020,1,"Tesla, Inc.",5-Day,,,FEB-2026,7SAYGDEE2RF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model Y, ,2024, ,9b0def1279b80bb,Consumer,"",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,JAN-2026, ,11:05, ,bcdb3cb9e16ef1c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Bothell, ,WA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Other Fixed Object,Unknown,,,,,,,,,,,,,Lane / Road Departure,"Yes Subject Vehicle, No Crash Partner",Unknown,Unknown,85, , , ,Y, , , , , ,Y,Y, ,Y, , ,Y,Y,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-13808,1,"Tesla, Inc.",5-Day,,,JAN-2026,5YJ3E1EA5RF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model 3, ,2024, ,14b4370e2db1b99,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,DEC-2025, ,05:11, ,43d5f77b35d8ef8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Larkspur, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway, , , , , , ,Y, , , ,Y, , ,Y, , , , , ,Other Fixed Object,Minor W/O Hospitalization,,,,,,,,,,,,,Lane / Road Departure,"Yes Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Unknown,,Y, , , , , ,Y, , ,Y, , ,Y, ,Y,Y,Y,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-13806,1,"Tesla, Inc.",5-Day,,,JAN-2026,7SAYGDEE5NF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model Y, ,2022, ,815b5ca520a5c48,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,JAN-2026, ,19:45, ,e02ee9c1f362fb7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Fremont, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway, , , , , , ,Y, , , ,Y, , ,Y, , , , , ,"Other, see Narrative",Unknown,Unknown, , , , , , , , , , ,Y,Lane / Road Departure,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,,Y, , ,Y, , , , , ,Y, , ,Y, , ,Y,Y,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-13459,1,"Tesla, Inc.",5-Day,,,DEC-2025,7SAYGDED2TF,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model Y, ,2026, ,e70d355e697b1f7,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,OCT-2025, ,02:37, ,351b944d3540326,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Orange, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown, , , , , ,Y, , , , , , , , , , , , ,Y,Non-Motorist: Pedestrian,Unknown,Unknown,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,Y, , , , , , , , , , ,Y, , , ,Y, ,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-13456,1,"Tesla, Inc.",5-Day,,,DEC-2025,7SAYGDEE6PA,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],TESLA, ,Model Y, ,2023, ,ba2d27095c310d7,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,"", ,Y, , , , , , , , , , ,DEC-2025, ,11:33, ,9602a31ec88e3ce,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tujunga, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway, , ,Y, , , , , , , ,Y, , , , , , , , ,Heavy Truck,Unknown,Proceeding Straight, , , , , ,Y, , , , , ,Lane / Road Departure,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,64, , , ,Y, , , , , , , , ,Y, ,Y,Y,Y,Y, , ,"",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
33257-11854,1,"VinFast Auto, LLC",5-Day,,,OCT-2025,RLLV1AEB4RH,Y,,VINFAST, ,VF 8, ,2024, ,a1f0b94cc516b75,Consumer,FRS 8A.4.9.16, ,"Unknown, see Narrative",Unknown - see Narrative,, , , , , , , , ,Y, , , ,SEP-2025, ,,Y,6e95a63541c7f6a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Newbury Park, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot, , ,Y, , , , , ,Y, , , , , , , , , , ,Van,No Injured Reported,Parking Maneuver, , , , , , ,Y, , , , ,Parking Maneuver,"No Subject Vehicle, Unknown Crash Partner","Yes Subject Vehicle, Unknown Crash Partner",Subject Vehicle - All Belted,3, , , , , , , , , ,Y, , , ,Y, , , , , , ,,Y,Yes, ,"Subject vehicle was driving in [XXX] looking for a parking space. Subject vehicle was pulling into a parking space at low speed (3 mph) with brakes depressed but vehicle kept moving and resulted in low-speed collision with vehicles in front and to the side of the subject vehicle. Customer reported no injuries airbag did not deploy on subject vehicle per customer. 
As such a low operating speed (0-3 mph), vehicle's safety features will not be activated. 

Customer had subject vehicle towed from the scene. 

A police report was made, and insurance claim was filed with State Farm.", 
13781-11773,1,"Tesla, Inc.",5-Day,,,SEP-2025,7SAYGDEE9TF,Y,,TESLA, ,Model Y, ,2026, ,bda215b8c09cdab,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Alleged Engaged,, , , ,Y, , ,Y, , , , , ,SEP-2025, ,20:41, ,583f9486c787840,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Portola Valley, ,CA,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway, , , , ,Y, , , ,Y, , , , , , , , , , ,First Responder Vehicle,Serious W/ Hospitalization,Unknown, ,Y, ,Y, ,Y, , , , , ,Unknown,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, Yes Crash Partner",Unknown,,Y, , ,Y, , , , , , , , , , , , , , ,Y, ,California Highway Patrol, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11772,1,"Tesla, Inc.",5-Day,,,SEP-2025,7SAYGDEE7TA,Y,,TESLA, ,Model Y, ,2026, ,9cf4a34a264abb6,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Unknown, see Narrative",Verified Not Engaged,, , , , , , , , ,Y, , , ,SEP-2025, ,15:53, ,aba4812fbb50fd9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,East Hanover, ,NJ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street, , , , , ,Y, , ,Y, , , , , , , , , , ,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,24, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
